"","Grouping","DGKE","MGAT3-AS1","NPPA","B2M","MB","ALB","LCN2","PIK3C2A","CST3","SLC22A12","REN","GPT","ADAMTS13","CFH","HGF","SLK","IL18","HP","CPT2","AMBP","SLC22A6","UMOD","HAVCR1","MAP4K2","PRTN3","F2","KNG1","MIR21","RBP4","BMAL2","SLC9A3","HMGCR","CBS","FABP1","XDH","IL6","HPRT1"
"Kidney_1517_pre",1,6.12277492843326,0.0671051879369551,0.0781716575265582,3945.97047865011,0,0.0753939844164775,29.1754048581654,11.8457296099332,53.6056907841186,0,0,0,0.271602169394679,0.513836194191514,0.223400233135335,6.1610741694298,5.63093642952296,2.32374679479208,0.870850801289288,0,0,0.0144355868650556,0.0337632510858376,4.33452379884477,0.519164351658145,0.0365228235984739,0.0160164790762538,0,0,0.062943927369436,0.0300795531886621,8.47517769461907,0.293585197224179,0,0,0.598189795807356,3.64128624091452
"Kidney_1521_pre",1,5.83108889063698,0.442408684528527,0.22905213764284,8450.53070670728,0.023470706817429,0,91.7709341773926,19.4087717055622,111.210180145927,0.0376759479962731,0,0.0537430235138935,0.174086993370182,0.306696377353489,0.415412199836693,8.41957555779702,8.85492595987042,13.1655517918691,1.47841103939396,0.11638643681733,0,0,0.0423986961863234,7.75466636137535,0.396838050019509,0.0802621220018966,0,0,0.0372601936234071,0.244728536298162,0.0396614806292,15.3080789184265,1.16132279688738,0,0,0.304596592666006,5.07147293466464
"Kidney_1522_pre",1,9.13305920176533,0.129998672450212,0.277634591688992,6706.94884900634,0.0413802102142574,0.0730280190414053,86.01374426694,28.542746813265,64.213963843645,0,0,0.0473760255252146,0.53346559862908,0.393253387275358,0.199744274913216,17.0609015370177,15.1967495723072,2.13828324854222,2.01485900923945,0,0,0,0.144830735749901,5.38362208961368,1.70539291883014,0,0,0,0,0.187595882005812,0.1126577154231,20.3657183870574,0.211247842731595,0,0,0.0847928472563271,6.38885231959976
"Kidney_1523_pre",1,6.65562632383751,0,0.192055854056891,8689.28858390866,0,0,91.4373844507578,10.0916128285656,53.629873067756,0.00631811293646178,0,0.0360500011456952,0.205746256115467,2.40326839927055,0.937284581553097,9.11146391867332,8.4359478642544,13.2843431699045,2.14765978481588,0.0260234160409892,0,0,0.0284403992584788,6.81001520173575,2.09626921555713,0.161515824805221,0.118050147533172,0,0,0.0999235832973479,0.029560351974553,10.5296106954634,2.39263558997042,0,0,0.182811515305626,8.73420461449693
"Kidney_1527_pre",1,6.53447980533655,0,0,10560.3623335554,0.0635298203717995,0,45.5939211615373,10.7108365861928,60.4339693047526,0,0,0.0454593871074278,0.117803391094101,3.4432638050174,0.908626707545928,17.7273279601975,5.00602767256631,14.8915824725062,2.64530851622787,0,0,0,0.0717272165488058,6.7842350269369,4.68262085580864,0,0.0238179736332807,0,0,0.100803655143692,0.0566593361974775,17.9121018645085,1.13512911162436,0,0,0.618354838068737,8.3598867856706
"Kidney_1528_pre",1,12.0769634975754,0,0.0418866705735161,10293.78933077,0.0343366283224892,0,12.036243457549,16.467732703585,126.735444976668,0.00688978517513587,0,0.176903364469378,0.285000991702801,5.50657055916639,1.63289089621782,16.7946845292932,11.0358143535072,5.49803509560228,3.27744962025491,0,0,0,0.0891644703213026,10.4502906137278,0.362848058159638,0.440325041069954,0.0128731500145062,0,0,0.264628842416425,0.125716564381088,17.642832205227,0.721385929483832,0,0,0.164172706864763,14.8386908463985
"Kidney_1534_pre",1,11.4986876114389,0,0.526389085074794,10652.1741845329,0.0562836301311788,0,388.49749149164,17.6516840945678,145.348244120938,0,0.0267687306095848,0.0644388871864099,0.2518055532926,6.42978506698459,2.54577786002491,18.5929200480753,15.3568922699586,100.952212246643,3.74103672138309,0,0.0110055917185638,0,0.0720188385549492,10.5574345380633,14.8890825722193,0.288707342099112,0.0422026069207904,0,0,0.357224094686528,0.0528387274768852,18.9512204844165,1.59873623132779,0,0,0.153775576232664,16.9869375294333
"Kidney_1535_pre",1,11.1255716765373,0.0404058404370343,0.258880928554473,10920.7142528114,0,0,6.71527914640683,12.8968442039759,65.0937351658996,0.00774225030305621,0,0.0441758694569552,0.15672485484788,2.21159848961567,1.5176084601582,12.2064355866525,7.68399199651755,7.73927251447811,2.26643979082753,0,0,0,0.0740584206841162,8.49424953939684,1.0601313515273,0.230909442235249,0.0433977898008118,0,0,0.134108518216688,0.0326010759385757,12.2392206569169,0.734881222948562,0,0,0.316261037919734,12.6502431451706
"Kidney_1536_pre",1,4.09682359205555,0,0.216830891504131,6832.22429195867,0,0.399241004661505,112.37107534118,5.13121896561522,57.9928454366406,0.0129693527046089,0,0.0740007632915006,0.114146114728339,1.02696076357711,0.788661802917641,7.16824839812943,4.92337175352099,21.9844858886037,1.04281716606882,0,0,0,0.02189262676723,5.31290431799458,3.21022358850272,0.110515894030421,0,0,0.0513049431952489,0.503021850328265,0.0394415409388497,5.49047518899588,2.18285534670026,0,0,0.220742289975629,6.97101778170025
"Kidney_1541_pre",1,7.5261225266823,0.235790039594152,0.223173204142184,10459.7309133568,0,0.149014517408487,17.1357908786422,15.2123429829122,77.5795154070402,0.0056475298055929,0,0.128895103971337,0.482139927727527,3.9286031226799,1.29318752174739,15.930626683331,13.92521560757,9.99898097336967,1.72937448269212,0,0.00825530369220245,0,0.0444882051323454,9.12056624785118,0.386652663711383,0.0481243605401179,0.06331242256536,0,0,0.136103668174892,0.103049373289775,18.1063831199747,2.66369060354019,0,0.00513663340848153,0.076898126861747,9.54328493047707
"Kidney_1543_pre",1,10.4823230436697,0,0.347237338536492,12524.2228242955,0,0.287056247956201,23.4069320488531,13.8047160637298,92.8726658712558,0,0,0.209502220482853,0.136444065708609,3.01911735731269,0.995975455445222,12.0187887427626,6.40849130481889,11.2667004295814,1.71284516831146,0,0,0,0.050502074798746,8.86290182022696,0.687538976867739,0.208586363781289,0,0,0.032277443406034,0.187421486436341,0.0305400976673474,20.3755188207797,0.71858630594834,0,0,1.70816796272758,10.7171524186551
"Kidney_1546_pre",1,6.38051612860079,0,0.100881836100127,4505.39452433693,0,0.0486486011650357,5.7129693091018,7.4901438573399,140.046768276418,0,0,0.0473402688614754,0.287221143586798,1.81742419420701,0.317871160800579,4.48699902861209,3.72556066421965,0.824679416359574,0.766986023258465,0.0455646961783456,0,0,0.0622457746017235,5.73457553488291,0.466080215416998,0.18853326746581,0,0,0.371972980140878,0.239524933220925,0.0388181682563493,5.7206241182345,0.108250464188765,0,0,2.88078091889065,5.42050037626164
"Kidney_1547_pre",1,4.74899232755867,0,0.299977048936551,11305.1697779949,0,0,27.6177646347537,10.5759916846998,68.0714998941693,0.00616776589170718,0,0.0703842966083291,0.15199480510373,3.50542656274375,1.72280163994634,16.523601638169,9.42424461605782,12.3516869876861,2.72611367566471,0,0,0,0.0659386117121438,7.11448645706995,0.568440551508757,0.157672362811937,0,0,0,0.174188896905393,0.017314156852436,18.8063575286582,2.45037257617999,0,0,0.0314931700442966,9.0779344849549
"Kidney_1551_pre",1,11.4339767189225,0.0737836055397673,0.322317855778984,7657.37951996108,0.0176146862698006,0,9.70602448723128,8.88043357824206,112.603302518916,0.00706891796052407,0,0.0302504683524732,0.248860383059967,1.91463414215864,1.09905195492138,5.49731695916183,8.58038467719327,6.32364940516577,1.60645416670578,0.0145579380185436,0,0,0.0357975882257239,8.91743061099003,0.111684606561715,0,0.132078488708857,0,0.139818247940655,0.143740127511984,0.0628389266982249,7.86294171825367,0.504956550412783,0,0.00321471877154892,2.08145145765328,10.2857519610846
"Kidney_1553_pre",1,14.5798888023643,0,0.314277603073186,4383.87789866128,0,0.165332933781002,44.7077410135071,20.7629830936332,175.128859793183,0,0,0,0.554240448605346,0.751200918093238,0.226107098418191,21.0884881957619,14.1601525930115,1.36949343095717,2.70617056275538,0,0,0,0.200965957288036,5.14056572171249,0.940488102039956,0.280320634037707,0.17561424130944,0,0,0.145109472560398,0.0835519132955388,12.9586809072235,0.0275918007900712,0,0,1.91968101895034,6.09385193994107
"Kidney_1558_pre",1,6.12743094861118,0,0.120542535538374,9272.24632574976,0,0.0498254135292773,26.6688175660102,10.8877442712667,101.863054191142,0.00566502874101633,0,0.0484854325946261,0.189464804781664,1.60146426668518,0.613265093690444,8.02291329520246,8.54820672936769,9.74202141028029,1.06375134905179,0,0,0,0.0414384771753018,7.77475139217575,1.87958421675338,0.193093897677396,0,0,0.0224100604229855,0.255985100514079,0.0318057455220193,10.0613580262537,1.28053751514128,0,0.0025762746627999,0.0771363965836356,6.62817296794416
"Kidney_U1111R_pre",1,15.9900072965529,0.086895551213804,0.0759192710604814,10928.2950900451,0,0.146443263974533,12.7321452050311,53.1756589249897,102.917282076223,0,0.0147995843038558,0.225632740281288,0.45428158470664,2.85864590120674,0.626782943199878,26.6516216051896,12.1064123316089,4.55589862938241,2.26871760184629,0,0,0,0.163952095438039,7.65635279220762,0.131531867794755,0.141881916408113,0.0311099816710815,0,0.0987990513800786,0.247656097932011,0.179172213069831,26.0791081873799,0.37473706460953,0,0.0075720007881845,0.609293167548265,8.76336962187385
"Kidney_U1112R_pre",1,17.255622588258,0.128425668203874,0.0935028987800137,12367.1683873704,0.0153298137021883,0.0541082764513785,26.095247684992,38.5723229390975,133.171887728985,0,0,0.342245242570753,0.33569852111944,1.90301827989687,0.770124749619205,28.7810093644929,8.74123665545354,5.06561401956442,1.81868161439584,0,0.00899268599065374,0,0.131539691767164,9.37370812185421,0.372590578421271,0.104845873386114,0,0,0,0.354435865079904,0.0834709045994758,23.9670100363608,1.57120778443177,0,0,0.879551825852074,10.3498660281851
